21095_49|-0.405947 0.372254 -0.223487 0.239831 0.148191 0.315642 0.324892 -0.718108 -0.085471 0.002658 0.080997 -0.594221 -0.711351 -0.423055 0.142024 0.014288 0.260404 -0.051861 0.102535 -0.120701 -0.479625 -0.270951 -0.454650 0.237061 -0.059212 -0.269088 -0.309496 0.483306 0.237344 -0.330490 0.241020 -0.150856 0.220181 -0.382158 0.059120 0.210206 0.063118 -0.317291 0.105034 -0.132150 -0.500707 -0.213532 -0.297306 -0.167281 0.042455 0.258550 0.358010 0.539940 0.173303 0.029099 0.079648 0.381402 0.307962 0.408004 -0.390963 -0.215542 0.019068 -0.271918 0.139179 0.309797 0.133939 -0.076224 -0.192371 -0.022476|1
3486_49|-0.414116 0.382115 -0.218834 0.254559 0.137169 0.317114 0.340746 -0.728119 -0.086397 0.004100 0.081437 -0.602492 -0.711743 -0.419135 0.145899 0.022153 0.260327 -0.044067 0.101282 -0.125457 -0.484716 -0.280562 -0.459702 0.234870 -0.063970 -0.277576 -0.324636 0.491885 0.248321 -0.319967 0.245019 -0.162348 0.235541 -0.378892 0.070391 0.213233 0.061879 -0.322772 0.110622 -0.135674 -0.509215 -0.220164 -0.311841 -0.159190 0.050367 0.261539 0.361882 0.536427 0.175615 0.037125 0.079176 0.395153 0.297564 0.417580 -0.409173 -0.212291 0.012015 -0.272454 0.144353 0.312950 0.123609 -0.086509 -0.197496 -0.025243|1
20241_49|-0.443409 0.411100 -0.236636 0.265252 0.144865 0.330646 0.361630 -0.763993 -0.091088 -0.002718 0.073425 -0.631293 -0.767632 -0.451147 0.141166 0.019817 0.268455 -0.047238 0.108787 -0.127750 -0.506302 -0.286244 -0.483676 0.257823 -0.067804 -0.292439 -0.339555 0.528957 0.255138 -0.355865 0.260299 -0.172358 0.246975 -0.407318 0.067935 0.218237 0.064160 -0.338391 0.112787 -0.146925 -0.546131 -0.239908 -0.324073 -0.175133 0.057850 0.288584 0.394407 0.584749 0.185908 0.026323 0.080344 0.425600 0.332912 0.435099 -0.432927 -0.236714 0.018426 -0.283615 0.153813 0.326910 0.142566 -0.087968 -0.210209 -0.015708|0
21864_49|-0.407207 0.370549 -0.223604 0.251723 0.129780 0.307297 0.335449 -0.705783 -0.075094 -0.006338 0.082071 -0.595645 -0.702770 -0.410925 0.142635 0.027371 0.253646 -0.045015 0.105076 -0.124920 -0.469980 -0.273313 -0.442224 0.227178 -0.062905 -0.270175 -0.316501 0.493050 0.230482 -0.316457 0.246817 -0.162107 0.219412 -0.380799 0.059853 0.206782 0.057060 -0.318561 0.109390 -0.133584 -0.495699 -0.211383 -0.290165 -0.168532 0.051676 0.263680 0.360918 0.528021 0.175756 0.029870 0.073341 0.381254 0.296445 0.397562 -0.387398 -0.208681 0.012316 -0.257325 0.132244 0.299951 0.131382 -0.069060 -0.190231 -0.015746|1
2760_49|-0.397437 0.371397 -0.218956 0.249292 0.141962 0.317458 0.320560 -0.705912 -0.077996 -0.006463 0.084834 -0.592643 -0.704879 -0.423116 0.130604 0.024493 0.253576 -0.043407 0.106348 -0.132012 -0.478795 -0.278391 -0.448891 0.233511 -0.070639 -0.271388 -0.310707 0.479130 0.237456 -0.329190 0.242668 -0.153088 0.232780 -0.369827 0.066931 0.199921 0.053582 -0.314200 0.105455 -0.133984 -0.494576 -0.212859 -0.309187 -0.161597 0.042676 0.258105 0.369620 0.527753 0.188553 0.036849 0.075350 0.386119 0.295412 0.399656 -0.390256 -0.205876 0.007685 -0.254897 0.137579 0.299636 0.130309 -0.076967 -0.206468 -0.025588|1
6877_49|-0.412909 0.384606 -0.221478 0.242152 0.135408 0.322058 0.326203 -0.713715 -0.078584 -0.003689 0.079198 -0.601133 -0.702611 -0.415247 0.130790 0.021099 0.263576 -0.034309 0.102150 -0.130188 -0.484715 -0.265219 -0.461111 0.225845 -0.062172 -0.266125 -0.316503 0.487123 0.243527 -0.326342 0.245528 -0.158459 0.233548 -0.392290 0.073766 0.207326 0.065254 -0.325432 0.109848 -0.121992 -0.508838 -0.223880 -0.296166 -0.158672 0.048716 0.268562 0.363119 0.536682 0.183060 0.027617 0.069255 0.388746 0.310178 0.405519 -0.396669 -0.205607 0.014870 -0.269091 0.139320 0.312730 0.123982 -0.074418 -0.194827 -0.024459|1
15827_49|-0.397364 0.361030 -0.202975 0.233678 0.135962 0.299793 0.310293 -0.682491 -0.070865 0.004805 0.080921 -0.568262 -0.683725 -0.413252 0.137633 0.019092 0.243286 -0.050854 0.090637 -0.123162 -0.467652 -0.267618 -0.430180 0.223961 -0.056905 -0.259045 -0.294935 0.479257 0.227747 -0.320967 0.242300 -0.147202 0.223025 -0.373467 0.069063 0.194859 0.049634 -0.320192 0.103334 -0.132793 -0.481552 -0.216211 -0.293372 -0.158594 0.051149 0.259314 0.358398 0.519543 0.179592 0.031237 0.070494 0.372966 0.302985 0.400378 -0.387899 -0.199428 0.004837 -0.253548 0.129841 0.284736 0.121519 -0.078562 -0.199094 -0.014182|0
12430_49|-0.427383 0.394585 -0.229224 0.252075 0.143042 0.324164 0.342044 -0.747057 -0.087564 0.004064 0.089890 -0.633897 -0.744813 -0.441029 0.139741 0.022913 0.267831 -0.044790 0.098098 -0.138065 -0.510060 -0.281084 -0.486199 0.244948 -0.059859 -0.293456 -0.327406 0.509860 0.246341 -0.343912 0.262541 -0.168595 0.233101 -0.405971 0.078437 0.212959 0.072151 -0.341174 0.115729 -0.142161 -0.533131 -0.233116 -0.310572 -0.173290 0.051253 0.273420 0.383032 0.569958 0.189603 0.024121 0.070331 0.402860 0.313761 0.430553 -0.408609 -0.216373 0.017434 -0.270544 0.148329 0.322685 0.126575 -0.088118 -0.203425 -0.023432|0
21873_49|-0.400112 0.378526 -0.212774 0.246651 0.144508 0.306617 0.324656 -0.717357 -0.083283 -0.009404 0.076945 -0.599129 -0.707043 -0.425502 0.138444 0.031113 0.260474 -0.044885 0.095604 -0.127890 -0.470275 -0.267032 -0.454263 0.230295 -0.061922 -0.264379 -0.309948 0.491928 0.237240 -0.329404 0.245963 -0.149799 0.226387 -0.381482 0.065496 0.198011 0.062000 -0.324350 0.101152 -0.137265 -0.508816 -0.224034 -0.305060 -0.154881 0.044415 0.258884 0.369121 0.546042 0.171797 0.034406 0.078665 0.392215 0.310661 0.397512 -0.389796 -0.218021 0.006901 -0.268133 0.142283 0.293533 0.119246 -0.078361 -0.202588 -0.015169|1
5096_49|-0.404901 0.379302 -0.224763 0.255283 0.151580 0.326496 0.327086 -0.725927 -0.086574 -0.011008 0.084084 -0.605174 -0.718954 -0.417097 0.133969 0.020010 0.261709 -0.033820 0.094332 -0.118022 -0.490325 -0.269038 -0.459124 0.239397 -0.072144 -0.267376 -0.322360 0.496101 0.238203 -0.321205 0.247153 -0.155457 0.237016 -0.389839 0.071592 0.208758 0.067253 -0.325239 0.103016 -0.132710 -0.507226 -0.228186 -0.300307 -0.157136 0.047728 0.266760 0.369776 0.539196 0.189474 0.030800 0.072164 0.389755 0.313835 0.415980 -0.404641 -0.211508 0.020448 -0.276445 0.137244 0.299938 0.133357 -0.067747 -0.201259 -0.017190|0
