1388|-0.173183 0.065746 0.020292 -0.121346 -0.408111 0.126852 -0.096996 -0.297629 -0.172245 0.176057 -0.255350 0.007253 -0.106276 0.022834 0.071408 0.043629 -0.587824 0.058840 0.242276 -0.023842 -0.282984 0.119634 0.455134 0.086554 -0.519536 -0.175788 -0.225732 -0.190188 0.310977 0.445962 0.435533 -0.049893 -0.419502 -0.164726 -0.190881 0.124505 -0.182354 -0.186742 0.020827 0.132904 -0.136225 0.052145 -0.207226 0.049012 0.128066 0.337914 -0.199444 -0.336630 0.058983 -0.200462 -0.091271 0.063139 -0.084610 0.152226 -0.064560 -0.055924 -0.061400 -0.054119 -0.180121 -0.260134 -0.264201 0.031336 -0.249975 0.182153|1|4
1377|-0.154706 0.059107 0.020754 -0.115820 -0.393338 0.127628 -0.093029 -0.272143 -0.155500 0.176205 -0.247335 0.011646 -0.102137 0.024799 0.083334 0.048572 -0.554411 0.052056 0.227308 -0.021679 -0.278862 0.110678 0.425790 0.086594 -0.493873 -0.175267 -0.222011 -0.173893 0.300408 0.431714 0.423073 -0.051575 -0.392508 -0.163099 -0.188690 0.110593 -0.172972 -0.166845 0.032600 0.142885 -0.136519 0.054728 -0.195593 0.043457 0.126089 0.331080 -0.179199 -0.327736 0.056392 -0.194947 -0.081095 0.073344 -0.084749 0.130474 -0.055995 -0.052871 -0.050562 -0.050259 -0.175109 -0.248758 -0.246780 0.022595 -0.249699 0.175209|1|4
201|-0.167856 0.065651 0.018481 -0.124921 -0.415170 0.133991 -0.103754 -0.289437 -0.174234 0.179044 -0.258977 0.020122 -0.095260 0.022712 0.080569 0.043973 -0.587351 0.063545 0.232395 -0.016109 -0.277287 0.128919 0.447098 0.084950 -0.508169 -0.167717 -0.231955 -0.187400 0.309545 0.452869 0.438203 -0.055054 -0.412813 -0.167115 -0.184588 0.111592 -0.177503 -0.173679 0.026354 0.133062 -0.137685 0.053936 -0.217890 0.048452 0.132726 0.337922 -0.198689 -0.343054 0.065820 -0.193136 -0.086342 0.071067 -0.091418 0.150503 -0.053371 -0.052827 -0.058758 -0.056725 -0.172812 -0.256472 -0.256462 0.025880 -0.251669 0.186052|1|4
654|-0.163771 0.057507 0.023561 -0.109507 -0.409184 0.118109 -0.097626 -0.289344 -0.168347 0.181613 -0.257636 0.018505 -0.109403 0.036429 0.076770 0.039255 -0.573371 0.045181 0.233584 -0.014080 -0.291094 0.125986 0.442174 0.085064 -0.509521 -0.170189 -0.225221 -0.184838 0.310188 0.448773 0.441990 -0.054158 -0.414163 -0.172619 -0.189295 0.124305 -0.180592 -0.189927 0.020758 0.139322 -0.139580 0.053629 -0.206503 0.055594 0.128931 0.335947 -0.190435 -0.333066 0.062630 -0.190437 -0.078389 0.061294 -0.092248 0.137638 -0.063373 -0.045497 -0.062303 -0.042630 -0.172163 -0.251617 -0.256792 0.028852 -0.253724 0.184046|1|4
1354|-0.157836 0.057144 0.022569 -0.106777 -0.379115 0.114626 -0.093775 -0.270497 -0.159764 0.164207 -0.230762 0.017084 -0.093603 0.031192 0.075421 0.041858 -0.541155 0.054938 0.212870 -0.018982 -0.254110 0.107114 0.411886 0.083828 -0.476664 -0.161244 -0.212261 -0.166369 0.276866 0.414526 0.410732 -0.051387 -0.386309 -0.154271 -0.179755 0.106081 -0.166022 -0.168546 0.023987 0.135872 -0.129957 0.050295 -0.192975 0.043608 0.118529 0.311411 -0.175124 -0.317022 0.056069 -0.175488 -0.072820 0.064035 -0.085501 0.137483 -0.055728 -0.054014 -0.053534 -0.047236 -0.156382 -0.232891 -0.244533 0.023203 -0.237506 0.170832|1|4
1746|-0.171288 0.066745 0.019019 -0.125997 -0.434222 0.132558 -0.105824 -0.308072 -0.174182 0.189695 -0.269902 0.012316 -0.105217 0.037458 0.089158 0.047976 -0.623615 0.052815 0.256208 -0.015038 -0.295912 0.129448 0.471305 0.093726 -0.543625 -0.193677 -0.248118 -0.201623 0.329234 0.477330 0.474123 -0.050987 -0.436567 -0.175936 -0.196428 0.121348 -0.192121 -0.202624 0.026986 0.140873 -0.135255 0.059650 -0.222015 0.050138 0.129955 0.350741 -0.204115 -0.358267 0.065067 -0.215319 -0.085996 0.070962 -0.087169 0.155912 -0.068227 -0.044804 -0.071086 -0.043252 -0.182131 -0.273734 -0.274294 0.037871 -0.274196 0.185736|1|4
632|-0.160711 0.054740 0.017591 -0.113039 -0.415091 0.126905 -0.099659 -0.293680 -0.176687 0.186358 -0.256487 0.009978 -0.104848 0.026170 0.078669 0.049281 -0.589452 0.057318 0.241539 -0.015014 -0.285779 0.129685 0.448414 0.083160 -0.512768 -0.175190 -0.226232 -0.178521 0.312660 0.452129 0.440408 -0.049271 -0.423536 -0.175394 -0.187571 0.124563 -0.175743 -0.176278 0.035851 0.148680 -0.128291 0.050715 -0.218594 0.056299 0.122210 0.335416 -0.200699 -0.337264 0.058547 -0.198247 -0.092148 0.069328 -0.092570 0.140272 -0.067532 -0.055668 -0.053269 -0.044694 -0.169185 -0.258594 -0.264159 0.029857 -0.253157 0.173813|1|4
1043|-0.165091 0.064767 0.032205 -0.123760 -0.423803 0.132971 -0.098669 -0.306433 -0.175913 0.187203 -0.262788 0.020445 -0.109028 0.037960 0.086268 0.051199 -0.609603 0.050230 0.247379 -0.017623 -0.301628 0.131234 0.470539 0.085418 -0.534368 -0.183053 -0.235430 -0.191646 0.326142 0.464566 0.454085 -0.045462 -0.435382 -0.168800 -0.200130 0.116847 -0.180477 -0.193237 0.034552 0.146176 -0.142026 0.056791 -0.222019 0.055983 0.138455 0.349616 -0.202012 -0.347861 0.057112 -0.212134 -0.085011 0.066580 -0.098226 0.153776 -0.066812 -0.051522 -0.065305 -0.047281 -0.180967 -0.263960 -0.266475 0.027144 -0.267704 0.187889|1|4
1576|-0.149478 0.050998 0.012429 -0.106361 -0.342360 0.106584 -0.088105 -0.235142 -0.150745 0.150624 -0.212215 0.016054 -0.082013 0.028529 0.069862 0.041495 -0.489327 0.054471 0.202950 -0.014965 -0.238318 0.103905 0.381967 0.071960 -0.429893 -0.154458 -0.196884 -0.157821 0.267338 0.371514 0.377531 -0.049531 -0.354831 -0.138391 -0.158872 0.095309 -0.147523 -0.145066 0.028281 0.120618 -0.110757 0.050904 -0.181833 0.043871 0.099343 0.286770 -0.165384 -0.287715 0.056563 -0.173191 -0.068117 0.054068 -0.073817 0.124225 -0.049701 -0.048629 -0.057728 -0.043741 -0.139977 -0.205973 -0.221052 0.029860 -0.214836 0.146302|1|4
1150|-0.147488 0.049101 0.013906 -0.099105 -0.351045 0.111355 -0.089835 -0.237786 -0.139041 0.146413 -0.221030 0.007833 -0.080131 0.023057 0.064057 0.039949 -0.498350 0.053626 0.193677 -0.015235 -0.240563 0.098623 0.380018 0.077531 -0.439819 -0.145547 -0.199017 -0.149604 0.258462 0.376078 0.371842 -0.038528 -0.357439 -0.145310 -0.166630 0.103766 -0.150510 -0.147980 0.020737 0.120588 -0.114175 0.041760 -0.177247 0.052894 0.107675 0.282702 -0.163085 -0.292795 0.045157 -0.171170 -0.072355 0.056347 -0.079630 0.125026 -0.051726 -0.052259 -0.054346 -0.041914 -0.138827 -0.213103 -0.228243 0.019826 -0.220862 0.144257|1|4
