11934_4 [-0.673754, -0.480762, -0.351162, 1.6625, -0.219042, -0.146456, -1.068566, 0.181038, 0.342905, -1.136522, -0.040188, -0.13122, 0.008958, 0.858447, 0.157621, 1.018139, 0.188381, 0.121739, -0.156146, 0.431193, 0.590928, -0.023396, -0.863456, -1.192496, 0.048622, 0.331074, -0.028728, -0.229771, -1.203444, -0.872345, -0.374585, -0.368062, 0.215075, 1.45796, 0.378567, 0.891886, -0.079195, 0.026956, 0.483889, -0.495863, -0.525922, -1.370964, -1.394263, 1.578325, 0.224054, -0.914291, -0.576528, 1.591709, 0.809251, -0.315838, 1.158667, -0.136538, -0.348731, -0.833018, -0.150809, -0.229624, 0.660102, 0.221181, -1.349413, 0.076021, 0.706365, -0.214987, -0.391405, -0.390734] 1
6877_4 [0.71317, 0.598616, 0.531004, -0.426821, 0.419379, -0.558837, -0.553548, -0.093529, 0.161835, 0.581664, -0.089056, -1.407216, -0.660126, -0.167414, 0.075558, -0.103834, -0.389217, -0.336461, 1.023006, 0.767855, 1.045356, 0.801621, -0.366926, -0.675701, 0.016868, 0.264133, -0.066973, 1.74388, 1.286503, -0.352919, 0.03618, 0.628613, -0.284927, 0.120648, -0.183603, -0.886406, -0.084571, -0.956094, -0.423896, 0.898676, -0.254817, -1.148881, 0.34855, 1.382067, 1.054405, 0.824439, -0.648892, 0.347432, -0.416554, -0.092517, 0.518445, 0.818296, 0.278132, 0.83898, 0.495413, -0.094298, -0.723369, 0.420102, -0.46651, -1.857097, 1.145457, -0.126957, -0.029519, -0.217324] 1
21410_4 [-0.226221, 0.256068, -2.054902, 1.797335, -0.753974, -0.46862, -1.018755, -0.887428, 0.969385, 0.089085, -0.856862, 0.493998, 0.283255, 0.125329, -1.254724, 0.139851, -1.324769, -0.930178, -0.266409, 1.195621, -0.098898, -0.250038, 0.28398, -0.953377, -0.762058, -0.467704, 0.924267, -1.010717, -2.159342, 1.150677, -0.428547, -0.397206, -0.401934, 1.613263, -0.223689, 0.754523, 0.360892, 0.259667, 0.299496, -1.235199, -0.586756, 0.467239, 0.887287, -0.931025, -1.333763, -1.673713, -0.754232, 0.356536, 1.110612, -0.107371, 1.292655, -2.093826, -0.026486, 0.307667, 0.044181, -0.601877, 0.44753, -0.121729, -1.349596, 1.695073, -0.296782, -0.323178, 0.790149, -0.432101] 0
7966_4 [-0.254286, 0.142631, -1.110258, 1.021351, 0.241943, -0.016702, 0.70462, 0.955978, -1.243702, -0.225992, -1.143137, 0.904271, -0.827892, -1.518649, -0.540965, -1.248234, 0.619412, 0.707479, 1.261436, -0.275011, 0.155048, 0.407956, 0.508659, 0.091807, 1.878789, -0.788907, -0.418136, -0.254497, -1.856342, 0.12788, -0.434073, -0.274652, 0.490182, -0.555239, -1.39864, 1.035159, -0.631322, -1.122121, 1.463016, 0.113389, -0.317299, -0.3885, -0.090129, 0.712442, 1.213314, 0.526936, -0.244683, 0.904666, 0.836946, -0.302488, 0.060108, -0.259227, 1.184233, 1.162731, 1.898345, 0.582314, 0.049384, -0.6968, 0.406108, -0.833506, 0.994605, -0.337369, 2.271588, 0.995876] 1
10348_4 [0.566852, 0.223748, 0.231998, 0.879059, -0.723554, 0.445593, 0.95013, 0.389153, -0.258018, -0.673426, -0.782103, -0.179037, -0.074999, -0.426168, -0.636285, -1.081394, -2.067245, 0.514064, 1.103571, -1.319299, -0.59073, 0.021362, 0.837795, -0.855839, 0.361407, -1.111129, 1.064269, -0.156346, -0.720296, 0.779046, 0.284103, 0.272185, 0.398111, -0.714305, -0.476517, 0.962488, -1.207483, 0.098381, 0.587298, -1.197099, -0.437352, 1.222373, -1.05786, 1.36056, 0.145792, 0.757218, 0.8234, 1.254931, 0.915443, -1.271498, -1.752243, -1.68624, 0.220506, -0.628452, -0.44705, 1.279962, 0.700137, -0.0938, -0.946168, -0.177663, 1.647885, 0.881067, -1.626615, -2.027002] 1
12832_4 [-0.477173, -0.853296, -0.920175, 0.959376, 0.114435, -0.807129, 0.115177, 0.685369, 0.589744, 0.108042, 0.324984, 0.393189, 0.058787, 0.224987, -0.824083, 1.729884, -0.05142, 0.154144, -1.55785, 0.076797, 0.803683, -1.406966, -0.835271, 0.033637, 0.371473, 0.313797, 0.895538, -1.449624, 0.318948, -0.420105, 1.383381, 0.028704, 0.521429, -0.018625, -0.510088, -0.310576, 0.715152, -0.051048, -0.128361, 0.190554, 0.061513, -0.814356, 0.58941, -0.724602, 0.396644, -1.188348, 0.03183, -1.179237, 0.613151, 0.771593, 1.238725, 0.77535, 0.006048, -0.512265, -0.430291, -1.25833, -0.202995, 0.382488, 0.568368, 1.684522, -0.776149, 0.461053, 0.277668, 0.271706] 1
14900_4 [-0.384806, -0.80112, -1.741031, 1.25197, -0.238705, -0.503844, 0.762161, 0.712398, 0.583671, -0.370274, 0.015563, -0.519532, 0.904889, -0.438622, -0.186368, 1.557515, -1.348174, 0.633873, -2.050881, -1.204689, 0.644778, -0.4866, -0.781911, -0.925194, 0.57272, 1.171862, 0.931278, 0.39312, 0.670546, -0.671789, 0.789891, 0.705952, 1.556707, 0.023332, -1.325099, -0.341508, -0.40784, 0.523298, -1.161672, 0.128924, -0.595095, 0.204761, 1.736132, 0.114615, -0.280504, -1.187024, -0.334346, -0.138579, 0.906826, -0.035272, -0.354867, -0.722256, -0.496077, -0.417203, -0.474863, -0.706005, 0.485314, 0.899919, -0.364789, 0.180436, -1.379168, -0.128782, -0.157594, -0.034607] 1
9327_4 [1.274688, 0.693545, -0.188932, -0.343435, 0.573919, -1.528931, 0.071577, -0.363752, 0.387832, 0.983241, 0.047199, -0.746687, 0.137435, -0.680093, -0.726586, -1.077391, -1.801716, -0.631032, 1.31138, 0.561879, 0.15549, 0.206774, 0.237193, -0.962337, 0.277777, -0.120324, 0.866616, 0.902488, 0.987533, 1.360288, 0.931573, 0.955937, 0.135193, -0.220005, -1.151125, -1.158083, 0.060356, -1.017217, -0.882054, 0.330466, 0.231545, 0.437016, 1.146955, -0.140078, -0.071646, 0.069598, -0.871367, -0.209737, -0.485119, 0.905606, 0.280344, 0.595866, 1.05741, -0.472836, -0.582068, 0.009753, -0.662843, 0.844646, 0.072512, -0.792078, 0.876539, 0.651358, -1.161438, -0.674968] 1
4125_4 [0.384711, 0.223736, -0.705625, 0.699383, -0.419229, -1.108686, 0.761075, -0.105974, -0.828909, -0.660224, 0.661046, -0.01896, 1.486783, -0.220744, -0.60495, -0.501701, -1.828981, 0.803739, 0.066731, 0.525655, -0.218892, 0.251174, -0.124502, -1.553653, 0.418829, 0.314375, 0.392325, 1.086736, -0.640897, 0.740028, 0.743072, 1.609973, 0.464668, 1.068267, -1.674084, 0.610441, -0.920632, 0.574247, -0.477555, -0.413702, -1.262486, 1.148503, 0.41938, 0.091153, -0.551248, 0.086545, -1.25698, 1.495, 0.217804, 1.101469, 0.154699, 0.11779, 0.142562, -0.93835, -0.81356, 0.420452, 0.966913, 0.92803, -1.482257, -0.381268, -0.580724, -0.663937, -1.132418, -0.304774] 0
4432_4 [0.768329, -0.229973, 0.381168, 0.759487, 1.002729, -0.742073, 0.364845, 0.21539, 0.590416, -0.654373, 0.090678, -1.355338, 0.694154, -0.6908, 0.646326, -0.787566, -1.034174, -0.229941, 1.988726, -1.325463, -0.194883, 0.978795, 0.428583, -1.060322, 0.232422, 0.22154, -0.081447, 0.506633, 0.576198, -0.238951, 0.583258, -0.017058, 0.921765, -0.065904, 0.254487, -0.632273, -0.212965, -0.454256, -0.615399, 0.038039, 0.467762, 0.20472, -0.411593, 0.942304, -0.168557, -0.170396, -0.697103, 1.030173, -0.753226, -0.402919, -0.942748, 0.330634, 0.64734, -1.40042, -0.170409, 0.396731, 0.304219, 0.859503, -0.149632, -1.497797, 1.97863, 1.292554, -1.738331, -1.113753] 1
